date,location,avgtemp_c,totalprecip_mm,avghumidity,uv,bodyweight (gm/bird),feedintake (gm/bird/day),waterintake (ml/bird/day)
2022-09-05,Kengtung,24.1,0,46,7,814,80,87
2022-09-12,Kengtung,23.4,0,54,7,"1,356",134,112
2022-09-19,Kengtung,21.6,0.3,63,5,"2,015",150,164
2022-09-26,Kengtung,21.8,0,28,7,207,28,27
2022-10-03,Kengtung,17.1,22.3,86,5,515,55,48
2022-10-10,Kengtung,11.1,0,29,5,856,95,80
2022-10-17,Kengtung,15.2,0,29,5,"1,436",131,100
2022-10-24,Kengtung,16.7,0,37,5,"2,119",182,151
2022-10-31,Kengtung,14.2,0,46,4,205,27,25
2022-11-07,Kengtung,13.9,0,46,5,513,48,49
2022-11-14,Kengtung,9.9,0,51,3,"1,049",82,89
2022-11-21,Kengtung,10.8,5.4,76,3,"1,371",105,128
2022-11-28,Kengtung,8,0.2,47,2,"1,987",156,150
2022-12-05,Kengtung,2,0,62,3,185,27,26
2022-12-12,Kengtung,1.6,0,31,3,544,44,54
2022-12-19,Kengtung,1.2,0,18,2,"1,110",84,79
2022-12-26,Kengtung,0.9,0,24,3,"1,246",139,108
2023-01-02,Kengtung,3.1,0,27,2,"2,196",140,163
2023-01-09,Kengtung,4.8,0,31,4,206,19,28
2023-01-16,Kengtung,-3,0,29,2,470,57,43
2023-01-23,Kengtung,-0.4,0,34,1,868,81,76
2023-01-30,Kengtung,3.6,0,20,4,"1,635",119,101
2023-02-06,Kengtung,5.3,0,41,2,"2,302",158,178
2023-02-13,Kengtung,3,1.5,97,1,198,27,26
2023-02-20,Kengtung,6.6,0,31,3,549,58,58
2023-02-27,Kengtung,8.2,0,44,4,"1,088",86,82
2023-03-06,Kengtung,16.9,0,22,6,"1,612",112,113
2023-03-13,Kengtung,11.3,0,14,6,"1,994",154,151
2023-03-20,Kengtung,13,0,63,5,217,20,25
2023-03-27,Kengtung,15.2,0,40,6,503,47,49
2023-04-03,Kengtung,11.1,52.1,92,3,"1,061",78,69
2023-04-10,Kengtung,20.3,0,43,7,"1,614",121,136
2023-04-17,Kengtung,21,0.6,49,7,"2,342",164,179
2023-04-24,Kengtung,5.2,5.9,99,2,213,26,25
2023-05-01,Kengtung,19.9,0,32,6,499,46,46
2023-05-08,Kengtung,17.2,0,46,6,854,97,90
2023-05-15,Kengtung,27.1,0,30,9,"1,489",128,139
2023-05-22,Kengtung,14.5,0,61,5,"2,009",182,148
2023-05-29,Kengtung,19,19.6,86,5,224,24,21
2023-06-05,Kengtung,19.1,0,68,7,525,44,40
2023-06-12,Kengtung,24.6,0.3,52,7,871,71,78
2023-06-19,Kengtung,22.9,0,71,6,"1,363",99,124
2023-06-26,Kengtung,27.8,0.4,42,7,"2,239",154,151
2023-07-03,Kengtung,21.4,42,81,5,197,25,18
2023-07-10,Kengtung,32.1,0,45,9,535,53,41
2023-07-17,Kengtung,28,0.1,40,7,971,95,89
2023-07-24,Kengtung,30.2,0,38,9,"1,620",103,112
2023-07-31,Kengtung,27.8,0.7,70,7,"2,066",178,162
2023-08-07,Kengtung,25.1,1.15,79,6,176,26,22
2023-08-14,Kengtung,27.6,0,56,8,465,49,52
2023-08-21,Kengtung,24.9,1.4,70,7,976,73,68
2023-08-28,Kengtung,21.4,0.3,71,6,"1,546",137,127
2023-09-04,Kengtung,25,0,57,8,"2,040",166,166
2023-09-11,Kengtung,22.8,6.1,78,6,177,21,26
2023-09-18,Kengtung,25,9.9,70,7,434,50,48
2023-09-25,Kengtung,15.1,21.72,93,4,812,96,72
2023-10-02,Kengtung,13.9,1.9,80,4,"1,525",111,135
2023-10-09,Kengtung,17.1,0,45,5,"2,137",145,170
2023-10-16,Kengtung,19.3,0,38,7,201,20,22
2023-10-23,Kengtung,17.7,0,47,5,503,45,43
2023-10-30,Kengtung,19.3,0,41,6,"1,090",75,85
2023-11-06,Kengtung,7.5,0,29,4,"1,290",134,96
2023-11-13,Kengtung,6.3,0,37,2,"2,303",159,162
2023-11-20,Kengtung,11.5,0,37,5,218,21,26
2023-11-27,Kengtung,8.3,0,37,4,512,60,55
2023-12-04,Kengtung,7.3,0,30,4,916,88,88
2023-12-11,Kengtung,0.1,2.87,98,1,"1,261",94,93
2023-12-18,Kengtung,-4.3,1.14,84,1,"2,291",165,178
2023-12-25,Kengtung,-1.5,0,48,2,210,23,26
2024-01-01,Kengtung,3.1,0,62,3,461,50,55
2024-01-08,Kengtung,3.3,0,51,3,"1,055",73,71
2024-01-15,Kengtung,1.1,4.76,61,1,"1,168",103,98
2024-01-22,Kengtung,-5.2,0.02,33,2,"1,953",165,173
2024-01-29,Kengtung,2.3,0,50,3,185,20,26
2024-02-05,Kengtung,-1.8,0.1,77,1,543,46,42
2024-02-12,Kengtung,7.9,0,45,4,967,76,92
2024-02-19,Kengtung,3,0.23,40,1,"1,379",135,126
2024-02-26,Kengtung,3,0,66,3,"1,994",168,172
2024-03-04,Kengtung,6.7,0.03,76,2,204,20,22
2024-03-11,Kengtung,11.9,0,44,5,514,50,43
2024-03-18,Kengtung,12.2,0.07,37,4,"1,026",83,94
2024-03-25,Kengtung,8.8,1.15,79,3,"1,575",104,122
2024-04-01,Kengtung,20.5,0.01,55,6,"2,152",144,149
2024-04-08,Kengtung,19.2,0.02,47,5,201,22,19
2024-04-15,Kengtung,20.4,0,44,7,499,57,41
2024-04-22,Kengtung,20.5,0,51,6,"1,045",96,91
2024-04-29,Kengtung,14,3.27,75,4,"1,351",107,119
2024-05-06,Kengtung,20.9,0.5,48,6,"2,150",172,178
2024-05-13,Kengtung,23.8,0,26,8,221,24,21
2024-05-20,Kengtung,25.3,0,47,8,516,48,50
2024-05-27,Kengtung,23.9,1.18,54,6,"1,114",89,85
2024-06-03,Kengtung,23.4,0,45,8,"1,455",111,116
2024-06-10,Kengtung,29.1,0,27,8,"2,211",175,170
2024-06-17,Kengtung,25.6,0,58,8,194,23,18
2024-06-24,Kengtung,28.1,0,26,8,517,51,52
2024-07-01,Kengtung,21.9,1.6,71,6,"1,045",95,89
2024-07-29,Kengtung,25.7,64.77,84,6,"1,366",125,111
2021-01-04,Khayan,-23.6,0.4,87,1,"2,301",172,166
2021-01-11,Khayan,-21.3,0,85,1,214,20,26
2021-01-18,Khayan,-20.6,0,90,1,491,48,44
2021-01-25,Khayan,-16.9,2.6,93,1,795,92,87
2021-02-01,Khayan,-29,0,86,2,"1,655",131,116
2021-02-08,Khayan,-13.7,0,87,1,"2,038",155,165
2021-02-15,Khayan,-20.7,0,87,1,204,21,26
2021-02-22,Khayan,-18.6,0,87,2,500,44,54
2021-03-01,Khayan,-18.9,0,81,2,953,74,91
2021-03-08,Khayan,-5.3,0,82,2,"1,230",132,118
2021-03-15,Khayan,-10.5,0,74,1,"1,960",160,180
2021-03-22,Khayan,0.6,0,75,2,185,24,24
2021-03-29,Khayan,1,0,75,2,513,57,46
2021-04-05,Khayan,2.5,0,63,3,"1,094",72,78
2021-04-12,Khayan,-1,0,39,1,"1,571",97,126
2021-04-19,Khayan,5.7,0,38,4,"2,056",156,180
2021-04-26,Khayan,0.7,3.8,77,1,188,25,21
2021-05-03,Khayan,2.9,0.3,74,2,447,50,54
2021-05-10,Khayan,6.2,2.8,80,2,940,82,74
2021-05-17,Khayan,10.2,0.9,71,4,"1,579",117,116
2021-05-24,Khayan,6.9,0.3,52,3,"2,109",157,151
2021-05-31,Khayan,6.4,0.2,56,3,176,26,26
2021-06-07,Khayan,6.7,24.74,88,2,450,45,38
2021-06-14,Khayan,12.7,6.9,71,4,962,82,76
2021-06-21,Khayan,21,0,54,7,"1,316",96,120
2021-06-28,Khayan,16,11.9,85,4,"1,996",158,148
2021-07-05,Khayan,21.1,0.3,61,6,177,22,24
2021-07-12,Khayan,19.2,7.6,72,5,465,43,46
2021-07-19,Khayan,16.2,16.18,94,4,"1,071",83,76
2021-07-26,Khayan,18.7,0,69,5,"1,230",118,132
2021-08-02,Khayan,16.1,3.2,90,4,"2,331",181,145
2021-08-09,Khayan,17.2,0,63,6,204,20,24
2021-08-16,Khayan,21.6,5.7,71,7,516,59,51
2021-08-23,Khayan,13.4,0.6,88,4,"1,046",95,70
2021-08-30,Khayan,17.5,0,67,6,"1,272",100,122
2021-09-06,Khayan,6.1,4.1,74,3,"2,126",155,139
2021-09-13,Khayan,12.9,0,58,6,215,22,21
2021-09-20,Khayan,14.4,0,68,6,478,58,40
2021-09-27,Khayan,4.3,0.7,81,2,"1,106",89,86
2021-10-04,Khayan,1.9,0,79,2,"1,267",135,109
2021-10-11,Khayan,5.2,0,55,4,"2,335",162,144
2021-10-18,Khayan,0.2,0,71,3,204,24,24
2021-10-25,Khayan,0.6,0.2,65,2,465,55,46
2021-11-01,Khayan,1.8,0,58,2,815,93,76
2021-11-08,Khayan,-5.8,0,44,2,"1,212",97,129
2021-11-15,Khayan,-3.3,0,61,1,"1,968",139,176
2021-11-22,Khayan,-15.4,0,81,1,224,21,23
2021-11-29,Khayan,-12.3,0,88,1,474,58,44
2021-12-06,Khayan,-10.4,0,83,2,818,77,78
2021-12-13,Khayan,-14.4,0,87,1,"1,392",110,109
2021-12-20,Khayan,-16.5,0,86,1,"2,076",141,169
2021-12-27,Khayan,-21.6,0,88,1,212,27,23
2022-01-03,Khayan,-21.2,0,84,1,465,42,55
2022-01-10,Khayan,-23.7,0,96,1,"1,036",77,71
2022-01-17,Khayan,-18.5,0.7,89,1,"1,260",107,131
2022-01-24,Khayan,-15.6,0.8,94,1,"2,194",174,153
2022-01-31,Khayan,-21.9,0,96,1,193,20,19
2022-02-07,Khayan,-14.5,0,84,1,437,57,45
2022-02-14,Khayan,-26.1,0,95,1,972,72,77
2022-02-21,Khayan,-17,0,93,1,"1,218",103,105
2022-02-28,Khayan,-10.7,0,85,1,"2,090",164,151
2022-03-07,Khayan,-4.3,0,87,2,183,25,23
2022-03-14,Khayan,-11.5,1.1,91,1,447,56,42
2022-03-21,Khayan,-7.9,0,83,2,875,78,81
2022-03-28,Khayan,-5.3,0,81,1,"1,268",121,122
2022-04-04,Khayan,-1.6,1,65,1,"2,275",165,140
2022-04-11,Khayan,1.1,0.2,69,2,193,19,26
2022-04-18,Khayan,11.2,0,37,6,520,57,43
2022-04-25,Khayan,-0.4,2.6,54,1,"1,052",79,89
2022-05-02,Khayan,15.5,0,33,6,"1,682",133,102
2022-05-09,Khayan,3.2,4.4,70,2,"2,022",153,154
2022-05-16,Khayan,15.2,0,35,6,188,28,28
2022-05-23,Khayan,17,1,42,5,509,52,41
2022-05-30,Khayan,12.6,0,32,6,"1,064",94,72
2022-06-06,Khayan,15.2,0,67,6,"1,597",114,112
2022-06-13,Khayan,19.7,0,41,7,"1,991",181,182
2022-06-20,Khayan,18.4,0.7,59,6,184,21,20
2022-06-27,Khayan,23.1,0,45,8,509,45,44
2022-07-04,Khayan,18.6,0,66,7,"1,016",82,86
2022-07-11,Khayan,16.4,1.4,58,5,"1,619",136,117
2022-07-18,Khayan,23.8,0,42,8,"2,087",170,166
2022-07-25,Khayan,14.9,24.7,91,4,181,21,25
2022-08-01,Khayan,22.3,0,63,7,498,59,55
2022-08-08,Khayan,17,0,58,6,814,71,91
2022-08-15,Khayan,20.2,0,58,7,"1,463",105,105
2022-08-22,Khayan,11.9,0.1,60,4,"2,207",155,162
2022-08-29,Khayan,9.9,5.9,67,4,181,23,19
2022-09-05,Khayan,9.2,0,59,5,438,46,40
2022-09-12,Khayan,17.8,0,61,7,"1,023",91,70
2022-09-19,Khayan,7.3,0,63,5,"1,296",123,123
2022-09-26,Khayan,7,0.2,63,4,"2,203",161,139
2022-10-03,Khayan,-0.8,0.6,61,1,205,26,19
2022-10-10,Khayan,3.4,0,42,4,457,53,45
2022-10-17,Khayan,0,0,49,3,838,75,85
2022-10-24,Khayan,3.1,0.4,60,3,"1,533",116,136
2022-10-31,Khayan,-4.4,0,85,1,"2,350",145,169
2022-11-07,Khayan,-2.4,0,63,2,198,23,26
2022-11-14,Khayan,-6.7,0,55,2,466,55,45
2022-11-21,Khayan,-11.3,0,81,1,877,83,88
2022-11-28,Khayan,-24.5,0,82,1,"1,179",137,111
2022-12-05,Khayan,-19.6,0,86,1,"2,012",145,154
2022-12-12,Khayan,-21.3,0,88,1,206,23,18
2022-12-19,Khayan,-19.3,0,91,1,534,41,55
2022-12-26,Khayan,-19.1,0.7,95,1,933,78,76
2023-01-02,Khayan,-25.6,0,98,1,"1,218",127,120
2023-01-09,Khayan,-14,0,88,2,"2,311",168,148
2023-01-16,Khayan,-21.2,0.2,90,1,216,19,26
2023-01-23,Khayan,-36,0,90,2,509,53,41
2023-01-30,Khayan,-15.1,0.2,94,1,974,73,86
2023-02-06,Khayan,-17.2,0,94,1,"1,307",130,99
2023-02-13,Khayan,-17.7,0,92,1,"2,040",139,155
2023-02-20,Khayan,-15.5,0,89,1,221,27,19
2023-02-27,Khayan,-11.7,1,85,1,486,58,52
2023-03-06,Khayan,-6.6,0,86,1,"1,014",83,75
2023-03-13,Khayan,-5.6,8.8,88,1,"1,568",102,134
2023-03-20,Khayan,-5.1,0.8,80,1,"2,242",154,167
2023-03-27,Khayan,-4,0,79,1,217,19,25
2023-04-03,Khayan,-7.1,0,48,2,467,51,47
2023-04-10,Khayan,-5.1,1.2,66,1,989,80,87
2023-04-17,Khayan,0.5,0.3,55,2,"1,330",103,102
2023-04-24,Khayan,3.9,0,39,4,"2,291",148,174
2023-05-01,Khayan,8,0.4,57,3,201,19,26
2023-05-08,Khayan,13,0,47,6,484,48,41
2023-05-15,Khayan,3.9,0,39,2,894,79,81
2023-05-22,Khayan,12.6,0,50,5,"1,183",135,122
2023-05-29,Khayan,14.8,0,40,6,"2,298",162,142
2023-06-05,Khayan,16,1.5,55,5,192,27,22
2023-06-12,Khayan,22.8,0,43,8,559,43,44
2023-06-19,Khayan,17.3,0,58,7,865,83,81
2023-06-26,Khayan,14.7,11.85,86,4,"1,299",120,136
2023-07-03,Khayan,15.9,5.4,84,5,"2,259",180,159
2023-07-10,Khayan,19.6,2.1,87,5,181,23,23
2023-07-17,Khayan,22.7,4.85,73,7,510,46,40
2023-07-24,Khayan,17.7,7.63,79,5,797,81,85
2023-07-31,Khayan,25.5,0,60,8,"1,555",103,137
2023-08-07,Khayan,17.2,2.1,90,5,"1,980",142,135
2023-08-14,Khayan,18.4,3.1,81,5,224,25,18
2023-08-21,Khayan,12.4,0,78,4,522,49,51
2023-08-28,Khayan,17.8,0,64,6,875,86,81
2023-09-04,Khayan,15.4,0,68,6,"1,266",132,96
2023-09-11,Khayan,6.5,0,68,4,"2,254",150,150
2023-09-18,Khayan,11.1,0.1,73,4,187,27,20
2023-09-25,Khayan,10.9,0.1,78,4,523,56,45
2023-10-02,Khayan,3.6,6.35,83,2,823,85,87
2023-10-09,Khayan,7,0,60,4,"1,365",114,126
2023-10-16,Khayan,5.7,0.06,64,3,"2,221",182,164
2023-10-23,Khayan,4.7,0,72,4,216,24,19
2023-10-30,Khayan,-3,0.01,50,1,467,54,56
2023-11-06,Khayan,-5.5,1.03,50,1,852,77,81
2023-11-13,Khayan,-9.6,0,82,1,"1,222",95,129
2023-11-20,Khayan,-3.2,0.77,86,1,"2,123",178,157
2023-11-27,Khayan,-16.1,0.02,84,1,182,26,26
2023-12-04,Khayan,-8,0.39,83,1,464,54,49
2023-12-11,Khayan,-24.6,0.02,93,1,989,94,74
2023-12-18,Khayan,-25,0.31,91,1,1375,101,129
2023-12-25,Khayan,-18.5,0.04,91,1,"2,236",136,139
2024-01-01,Khayan,-15.6,0.02,94,1,211,24,24
2024-01-08,Khayan,-16.2,0.27,94,1,517,42,51
2024-01-15,Khayan,-17.9,0,89,1,935,71,84
2024-01-22,Khayan,-25.1,0.01,92,1,"1,275",134,130
2024-01-29,Khayan,-25.1,0.17,96,1,"2,135",176,165
2024-02-05,Khayan,-20.3,0.01,94,1,190,25,20
2024-02-12,Khayan,-11.1,4.69,90,1,528,47,42
2024-02-19,Khayan,-29.5,0.02,91,1,794,77,86
2024-02-26,Khayan,-19.3,0.64,88,1,"1,553",117,95
2024-03-04,Khayan,-16.7,0.1,90,1,"2,161",179,146
2024-03-11,Khayan,-8.8,0.01,85,1,178,23,22
2024-03-18,Khayan,-8.4,0.89,84,1,476,54,42
2024-03-25,Khayan,-1.7,0,68,3,988,73,86
2024-04-01,Khayan,1.2,0.35,58,2,"1,427",125,107
2024-04-08,Khayan,6.7,2.89,60,4,"2,009",167,140
2024-04-15,Khayan,1.5,0,71,4,200,26,22
2024-04-22,Khayan,3.1,1.03,56,2,548,54,53
2024-04-29,Khayan,6.4,0,38,3,"1,056",94,74
2024-05-06,Khayan,17.3,0,34,6,"1,584",106,103
2024-05-13,Khayan,8.5,3.66,53,3,"2,039",138,174
2024-05-20,Khayan,18.8,0,40,7,178,23,20
2024-05-27,Khayan,18.8,0,42,7,456,43,43
2024-06-03,Khayan,18,0.39,56,5,985,94,93
2024-06-10,Khayan,17.1,0.07,64,5,"1,410",109,128
2024-06-17,Khayan,22.1,0,45,8,"2,155",160,166
2024-06-24,Khayan,16.5,2.49,73,5,193,19,19
2024-07-01,Khayan,23.4,0,51,8,501,45,40
2024-07-29,Khayan,21.8,7.14,76,6,880,76,79
2021-01-04,Lapadang,28.1,5,75,10,"1,277",124,102
2021-01-11,Lapadang,28,12.7,79,10,"1,973",150,161
2021-01-18,Lapadang,27,5.5,80,9,180,26,24
2021-01-25,Lapadang,26.2,4.9,80,9,448,53,47
2021-02-01,Lapadang,26.4,5.2,80,9,"1,111",72,75
2021-02-08,Lapadang,26.5,11.27,78,9,"1,645",132,105
2021-02-15,Lapadang,26.5,4.14,80,9,"2,101",148,173
2021-02-22,Lapadang,26.9,1.8,79,9,219,21,24
2021-03-01,Lapadang,26.4,1.6,76,7,452,53,39
2021-03-08,Lapadang,26.4,5.8,78,7,871,88,89
2021-03-15,Lapadang,26.6,9.07,80,7,"1,244",127,129
2021-03-22,Lapadang,27,6.2,81,7,"2,120",174,163
2021-03-29,Lapadang,27.1,8.2,81,7,221,24,20
2021-04-05,Lapadang,25.9,38.9,76,7,449,52,56
2021-04-12,Lapadang,26.2,0.3,79,7,"1,069",77,92
2021-04-19,Lapadang,26.4,0,74,7,"1,243",116,134
2021-04-26,Lapadang,26.2,0,64,8,"2,219",143,136
2021-05-03,Lapadang,26.7,0,72,8,217,25,26
2021-05-10,Lapadang,25.7,0.1,70,7,506,52,53
2021-05-17,Lapadang,26.2,0,72,8,976,83,75
2021-05-24,Lapadang,25.7,0,76,7,"1,602",108,116
2021-05-31,Lapadang,25.7,0,73,8,"1,982",142,143
2021-06-07,Lapadang,26.2,0,74,8,199,27,23
2021-06-14,Lapadang,25.9,1.1,77,7,505,55,52
2021-06-21,Lapadang,26.1,0.4,79,7,"1,072",87,71
2021-06-28,Lapadang,26.6,2,78,7,"1,429",132,115
2021-07-05,Lapadang,25.1,0,67,8,"2,320",148,157
2021-07-12,Lapadang,26,0,74,8,207,19,20
2021-07-19,Lapadang,25.8,0,74,8,458,56,45
2021-07-26,Lapadang,25.2,0,68,8,"1,016",85,71
2021-08-02,Lapadang,26,0.3,72,7,"1,308",100,105
2021-08-09,Lapadang,25,0,69,8,"2,008",141,169
2021-08-16,Lapadang,26.8,0.1,74,8,199,24,23
2021-08-23,Lapadang,25.9,0,70,8,533,52,49
2021-08-30,Lapadang,26.4,0,66,9,920,72,88
2021-09-06,Lapadang,27.2,2.1,73,8,"1,390",128,120
2021-09-13,Lapadang,27,0.8,75,8,"2,046",141,162
2021-09-20,Lapadang,27.6,0,70,9,220,26,24
2021-09-27,Lapadang,27.1,0.2,71,8,463,56,44
2021-10-04,Lapadang,26.7,1.1,71,7,"1,096",95,85
2021-10-11,Lapadang,27.3,0,67,9,"1,493",101,118
2021-10-18,Lapadang,28.6,0.1,72,8,"2,304",177,142
2021-10-25,Lapadang,28.1,0.7,68,8,224,26,22
2021-11-01,Lapadang,28.3,5.1,70,8,541,42,45
2021-11-08,Lapadang,28.5,6.7,72,8,889,81,68
2021-11-15,Lapadang,27.5,8.1,76,7,"1,475",110,124
2021-11-22,Lapadang,28.6,1,72,8,"1,968",146,148
2021-11-29,Lapadang,26.7,6.6,73,7,188,21,19
2021-12-06,Lapadang,27.9,7.7,75,10,437,53,46
2021-12-13,Lapadang,27.7,7.6,75,10,923,82,79
2021-12-20,Lapadang,27.8,11.2,74,10,"1,510",134,125
2021-12-27,Lapadang,26.7,8.7,78,9,"2,009",148,154
2022-01-03,Lapadang,26.4,25.4,77,9,191,22,22
2022-01-10,Lapadang,27.3,4.6,73,10,475,49,50
2022-01-17,Lapadang,26.7,10.1,78,9,892,74,82
2022-01-24,Lapadang,27.3,0,73,11,"1,358",124,133
2022-01-31,Lapadang,26.9,0.4,75,10,"2,163",141,149
2022-02-07,Lapadang,27.3,7.7,75,10,208,26,27
2022-02-14,Lapadang,26.2,3.3,78,9,476,54,46
2022-02-21,Lapadang,26.4,15.2,77,9,918,79,85
2022-02-28,Lapadang,26.2,1,80,9,"1,220",135,115
2022-03-07,Lapadang,26.9,2,79,8,"2,249",151,175
2022-03-14,Lapadang,27.2,2.7,80,8,201,26,23
2022-03-21,Lapadang,27.3,0.3,78,8,556,48,50
2022-03-28,Lapadang,26.7,13.8,79,8,943,72,73
2022-04-04,Lapadang,26.5,1.2,75,7,"1,362",107,108
2022-04-11,Lapadang,26.5,0,73,9,"2,150",171,167
2022-04-18,Lapadang,27.6,10.4,77,7,213,23,25
2022-04-25,Lapadang,27.2,0,69,9,480,43,49
2022-05-02,Lapadang,27.5,1.6,77,8,"1,013",73,82
2022-05-09,Lapadang,27.7,0.4,77,9,"1,668",105,117
2022-05-16,Lapadang,26.7,0.7,76,8,"2,035",137,157
2022-05-23,Lapadang,27.2,1.4,76,8,181,25,25
2022-05-30,Lapadang,26.7,0.5,75,7,439,49,42
2022-06-06,Lapadang,27.2,0.8,78,7,"1,003",84,69
2022-06-13,Lapadang,26,0,72,8,"1,302",127,131
2022-06-20,Lapadang,26.4,0.2,69,7,"2,073",164,166
2022-06-27,Lapadang,25.9,2.4,72,7,210,25,26
2022-07-04,Lapadang,25.8,5.5,81,7,462,47,49
2022-07-11,Lapadang,25.4,0.9,76,7,984,89,69
2022-07-18,Lapadang,25.1,0.7,74,7,"1,600",119,132
2022-07-25,Lapadang,24.1,0,67,8,"2,341",161,138
2022-08-01,Lapadang,25.3,0,77,8,182,27,20
2022-08-08,Lapadang,25.6,0.5,72,8,457,56,48
2022-08-15,Lapadang,26.4,0,73,9,797,85,74
2022-08-22,Lapadang,26,0.5,69,7,"1,609",108,129
2022-08-29,Lapadang,26.9,1.9,77,8,"1,976",136,146
2022-09-05,Lapadang,27,1.4,76,8,200,25,19
2022-09-12,Lapadang,26.8,0,73,9,545,51,57
2022-09-19,Lapadang,27.2,0,71,9,"1,024",88,83
2022-09-26,Lapadang,27.3,0.1,69,8,"1,386",100,128
2022-10-03,Lapadang,27.6,11.6,75,7,"2,158",171,176
2022-10-10,Lapadang,28.9,2.6,68,8,223,27,24
2022-10-17,Lapadang,28.8,5.7,71,8,475,46,51
2022-10-24,Lapadang,27.8,2.7,73,8,845,74,68
2022-10-31,Lapadang,27.2,1.3,72,7,"1,320",99,110
2022-11-07,Lapadang,28.5,5.8,67,8,"2,132",155,171
2022-11-14,Lapadang,27.9,6.1,76,8,214,22,25
2022-11-21,Lapadang,26,1.2,79,7,452,43,54
2022-11-28,Lapadang,27,5.6,78,7,943,73,89
2022-12-05,Lapadang,27.3,0.3,66,11,"1,283",111,124
2022-12-12,Lapadang,28.3,0,68,11,"1,985",151,138
2022-12-19,Lapadang,26.8,0.6,76,9,207,21,27
2022-12-26,Lapadang,25.6,1.5,78,9,481,43,46
2023-01-02,Lapadang,26.8,0.1,75,9,824,71,69
2023-01-09,Lapadang,26.7,0.1,70,10,"1,656",121,104
2023-01-16,Lapadang,26.8,11.5,77,10,"2,311",154,163
2023-01-23,Lapadang,26.4,0.1,72,10,184,24,18
2023-01-30,Lapadang,27.1,15.9,79,9,462,56,53
2023-02-06,Lapadang,25.7,12.8,85,9,794,93,73
2023-02-13,Lapadang,26.5,3.8,79,10,"1,661",115,98
2023-02-20,Lapadang,26.6,3.4,80,10,"2,081",139,174
2023-02-27,Lapadang,26.2,0.8,80,9,211,26,19
2023-03-06,Lapadang,25.5,23.9,81,7,497,51,57
2023-03-13,Lapadang,26,8.5,74,8,804,90,74
2023-03-20,Lapadang,27.3,5.4,80,8,"1,185",132,93
2023-03-27,Lapadang,26.7,17,80,8,"1,962",144,157
2023-04-03,Lapadang,26.6,5.05,80,7,201,24,23
2023-04-10,Lapadang,26.2,8.9,81,7,485,57,52
2023-04-17,Lapadang,26.8,8.75,82,7,"1,107",77,90
2023-04-24,Lapadang,26.6,3.7,81,8,"1,515",100,134
2023-05-01,Lapadang,26.4,0.9,78,8,"2,329",166,166
2023-05-08,Lapadang,27.5,3.9,79,8,181,20,19
2023-05-15,Lapadang,24.7,0,68,8,554,45,42
2023-05-22,Lapadang,24.6,2.2,78,7,798,82,72
2023-05-29,Lapadang,25,2.2,77,7,"1,472",119,119
2023-06-05,Lapadang,26.1,0.6,80,8,"1,968",181,142
2023-06-12,Lapadang,26.4,0.5,78,8,212,19,19
2023-06-19,Lapadang,25.2,0,74,9,524,50,47
2023-06-26,Lapadang,26.2,1.7,76,7,"1,058",91,81
2023-07-03,Lapadang,26,2.4,81,7,"1,494",128,100
2023-07-10,Lapadang,25.6,0,71,8,"2,036",148,140
2023-07-17,Lapadang,25.1,0,74,8,202,25,26
2023-07-24,Lapadang,24.3,4.6,75,7,508,45,57
2023-07-31,Lapadang,25.7,0,76,9,"1,019",78,77
2023-08-07,Lapadang,24.9,0,70,8,"1,222",139,93
2023-08-14,Lapadang,25.5,0.2,76,7,"2,202",169,172
2023-08-21,Lapadang,25.6,0.5,68,7,189,19,22
2023-08-28,Lapadang,25.5,0,71,8,485,57,54
2023-09-04,Lapadang,24.7,0,69,8,815,96,85
2023-09-11,Lapadang,26.8,0,71,9,"1,345",113,128
2023-09-18,Lapadang,25.9,0,71,9,"1,996",168,153
2023-09-25,Lapadang,26.8,0,55,9,212,27,21
2023-10-02,Lapadang,26.7,0.01,73,9,502,52,40
2023-10-09,Lapadang,27.6,0,57,9,814,75,82
2023-10-16,Lapadang,27.7,0.01,69,9,"1,335",126,124
2023-10-23,Lapadang,27.2,0,67,9,"2,200",164,175
2023-10-30,Lapadang,28.1,0.1,70,9,214,23,21
2023-11-06,Lapadang,28.4,0,66,9,450,47,48
2023-11-13,Lapadang,27.9,0.99,71,8,"1,070",84,86
2023-11-20,Lapadang,28.2,0.26,69,8,"1,404",138,124
2023-11-27,Lapadang,28.1,1.12,72,8,"2,152",164,159
2023-12-04,Lapadang,27.9,8.82,77,10,207,22,19
2023-12-11,Lapadang,28,6.09,75,10,467,45,39
2023-12-18,Lapadang,27.9,0.12,68,10,851,73,91
2023-12-25,Lapadang,27.5,1.76,77,10,"1,602",104,97
2024-01-01,Lapadang,28.5,0.16,72,10,"2,123",140,174
2024-01-08,Lapadang,28.4,5.87,74,10,176,27,24
2024-01-15,Lapadang,28.1,0.33,69,10,470,56,53
2024-01-22,Lapadang,28,0.93,72,10,988,80,71
2024-01-29,Lapadang,27.1,5.18,75,10,"1,380",106,132
2024-02-05,Lapadang,26.9,10.02,79,10,"2,133",174,140
2024-02-12,Lapadang,26.6,12.37,82,10,181,23,20
2024-02-19,Lapadang,27.8,6.47,78,10,552,54,49
2024-02-26,Lapadang,27.5,8.3,77,10,897,82,74
2024-03-04,Lapadang,27.8,8.61,80,8,"1,324",139,109
2024-03-11,Lapadang,25.7,37.7,91,7,"2,109",168,170
