date;location;avgtemp_c;totalprecip_mm;avghumidity;uv;feedintake (gm/bird/day);bodyweight (gm/bird);age(day)
2021-07-12;Kamase;26,1;36,09;88;6;132;1334;25
2021-07-13;Kamase;27,8;4,4;81;7;149;1474;26
2021-07-14;Kamase;28;3,4;79;7;155;1549;27
2021-07-15;Kamase;27,7;22,2;77;7;158;1598;28
2021-07-16;Kamase;27;15,72;83;6;167;1742;29
2021-07-17;Kamase;27,4;19,3;83;6;169;1788;30
2021-07-18;Kamase;27,1;19,17;84;6;182;1946;31
2021-07-19;Kamase;25,9;48,13;89;6;182;1980;32
2021-07-20;Kamase;25,8;15,3;90;6;190;1999;33
2021-07-21;Kamase;24,2;33,21;94;6;194;2179;34
2021-07-22;Kamase;26;21,5;89;6;194;2276;35
2021-07-23;Kamase;26,4;25;88;6;197;2349;36
2021-07-24;Kamase;26,4;22,3;89;6;208;2374;37
2021-07-25;Kamase;25,6;14,5;90;6;216;2643;38
2021-07-26;Kamase;25,3;25;91;6;218;2750;39
2021-07-27;Kamase;25,7;11,7;92;6;226;2799;40
2021-07-28;Kamase;26,6;11,5;84;6;228;2931;41
2021-07-29;Kamase;27,4;8,3;84;7;232;3161;42
2021-07-30;Kamase;27,4;16,9;83;7;14;58;1
2021-07-31;Kamase;26,6;20,3;85;6;15;81;2
2021-08-01;Kamase;25,6;22,2;89;6;24;99;3
2021-08-02;Kamase;25,9;25,3;87;6;25;129;4
2021-08-03;Kamase;24,8;20,8;94;6;26;149;5
2021-08-04;Kamase;25,4;18,1;90;6;33;161;6
2021-08-05;Kamase;26,3;27,5;86;6;33;215;7
2021-08-06;Kamase;26,2;20,11;88;6;42;249;8
2021-08-07;Kamase;24,9;17,7;92;6;46;295;9
2021-08-08;Kamase;26,8;22,16;88;6;48;321;10
2021-08-09;Kamase;27,9;2,8;82;7;58;373;11
2021-08-10;Kamase;28,2;4,67;80;7;63;390;12
2021-08-11;Kamase;28,4;1,6;79;7;67;425;13
2021-08-12;Kamase;27,9;10,7;81;7;76;491;14
2021-08-13;Kamase;27,7;13,62;82;7;80;607;15
2021-08-14;Kamase;26,9;21,82;85;6;84;679;16
2021-08-15;Kamase;26,8;16,04;85;6;88;699;17
2021-08-16;Kamase;24,7;57,18;96;6;96;745;18
2021-08-17;Kamase;25,3;25;91;6;106;775;19
2021-08-18;Kamase;26,6;9,8;85;6;111;915;20
2021-08-19;Kamase;27,5;0,4;80;7;116;1032;21
2021-08-20;Kamase;27,8;2,5;81;7;117;1091;22
2021-08-21;Kamase;27,8;7,6;82;7;132;1250;23
2021-08-22;Kamase;27,8;3,1;82;7;136;1275;24
2021-08-23;Kamase;27,6;5,7;82;7;140;1309;25
2021-08-24;Kamase;27,6;16,11;83;7;145;1354;26
2021-08-25;Kamase;27,3;11,96;83;7;151;1388;27
2021-08-26;Kamase;26,9;21,38;82;6;160;1534;28
2021-08-27;Kamase;26,8;16,1;86;6;165;1628;29
2021-08-28;Kamase;25,8;10,5;90;6;166;1628;30
2021-08-29;Kamase;25,6;18;88;6;178;1857;31
2021-08-30;Kamase;26,3;1,1;86;7;180;2056;32
2021-08-31;Kamase;26,6;7,7;86;6;190;2239;33
2021-09-01;Kamase;26,7;21,65;85;6;195;2239;34
2021-09-02;Kamase;26,4;12,89;88;6;200;2296;35
2021-09-03;Kamase;26,3;10,8;85;6;206;2298;36
2021-09-04;Kamase;25;20,7;93;6;207;2400;37
2021-09-05;Kamase;24,1;33,48;97;6;210;2733;38
2021-09-06;Kamase;25;17,8;89;6;223;2745;39
2021-09-07;Kamase;26,1;4,93;88;6;223;2916;40
2021-09-08;Kamase;26,5;13,08;87;7;230;3042;41
2021-09-09;Kamase;26,6;22,1;89;6;233;3130;42
2021-09-10;Kamase;26,2;22,5;87;6;15;56;1
2021-09-11;Kamase;25,5;35,94;93;6;19;87;2
2021-09-12;Kamase;25,3;22;92;6;24;91;3
2021-09-13;Kamase;25,9;17,82;89;6;27;125;4
2021-09-14;Kamase;26;4;89;6;31;163;5
2021-09-15;Kamase;26,4;15,2;88;6;33;192;6
2021-09-16;Kamase;26,5;5,3;87;6;37;223;7
2021-09-17;Kamase;25,3;20,27;95;6;42;250;8
2021-09-18;Kamase;25,6;8,6;92;6;44;282;9
2021-09-19;Kamase;26,7;0,9;86;7;50;335;10
2021-09-20;Kamase;26,4;6,63;88;7;52;402;11
2021-09-21;Kamase;26;16,9;89;6;57;453;12
2021-09-22;Kamase;26;31,57;89;6;58;486;13
2021-09-23;Kamase;25,9;9,1;90;6;72;560;14
2021-09-24;Kamase;24,7;20,7;92;6;75;611;15
2021-09-25;Kamase;25,9;6,65;90;6;83;647;16
2021-09-26;Kamase;25,2;29,45;92;6;92;709;17
2021-09-27;Kamase;25,4;35,4;88;6;98;788;18
2021-09-28;Kamase;26,1;2,1;87;6;105;797;19
2021-09-29;Kamase;27,2;0;85;7;107;972;20
2021-09-30;Kamase;28,1;0;83;7;119;998;21
2021-10-01;Kamase;27,6;4,08;86;7;124;1029;22
2021-10-02;Kamase;26,7;17,55;87;6;129;1058;23
2021-10-03;Kamase;25,9;23,38;90;6;134;1282;24
2021-10-04;Kamase;26,6;3,97;86;7;140;1440;25
2021-10-05;Kamase;27,3;0,6;84;7;151;1522;26
2021-10-06;Kamase;27,5;5,5;83;7;158;1548;27
2021-10-07;Kamase;26,9;15,77;87;7;162;1665;28
2021-10-08;Kamase;26,7;3,99;88;7;169;1820;29
2021-10-09;Kamase;26,4;0,8;89;6;174;1852;30
2021-10-10;Kamase;27;0,6;86;7;178;1915;31
2021-10-11;Kamase;26,6;30,08;88;6;180;2124;32
2021-10-12;Kamase;25,7;13,95;91;6;182;2203;33
2021-10-13;Kamase;26,6;17,6;87;7;195;2262;34
2021-10-14;Kamase;26,6;2,74;89;7;198;2320;35
2021-10-15;Kamase;25,8;10,9;88;6;206;2417;36
2021-10-16;Kamase;23,5;44,63;96;5;210;2567;37
2021-10-17;Kamase;23,6;80,23;96;5;211;2605;38
2021-10-18;Kamase;24,1;3,24;94;6;217;2843;39
2021-10-19;Kamase;25,7;3;83;6;221;2926;40
2021-10-20;Kamase;26,4;0,2;84;7;226;3082;41
2021-10-21;Kamase;26,1;5,54;88;6;231;3210;42
2021-10-22;Kamase;25;31,93;91;6;13;56;1
2021-10-23;Kamase;25,6;19,1;88;6;17;78;2
2021-10-24;Kamase;26,1;1,5;85;8;20;95;3
2021-10-25;Kamase;26,4;0,1;84;7;25;128;4
2021-10-26;Kamase;26,4;0,1;84;7;25;145;5
2021-10-27;Kamase;27;0,3;83;7;29;170;6
2021-10-28;Kamase;27,1;0,8;84;7;37;218;7
2021-10-29;Kamase;26,6;2,3;84;7;42;236;8
2021-10-30;Kamase;26,1;23,6;85;6;42;262;9
2021-10-31;Kamase;26,4;8;85;6;52;293;10
2021-11-01;Kamase;26,5;14,52;84;7;53;335;11
2021-11-02;Kamase;26,8;0,8;82;7;57;427;12
2021-11-03;Kamase;26,5;4;87;6;68;477;13
2021-11-04;Kamase;26,4;10,3;85;6;76;533;14
2021-11-05;Kamase;26,5;2;85;7;79;609;15
2021-11-06;Kamase;26,8;0;83;7;87;623;16
2021-11-07;Kamase;27,4;0;82;7;90;737;17
2021-11-08;Kamase;27,2;1,15;81;8;97;823;18
2021-11-09;Kamase;26,9;7,73;83;7;97;885;19
2021-11-10;Kamase;26,9;0;81;8;99;995;20
2021-11-11;Kamase;26,7;0,3;83;7;104;1014;21
2021-11-12;Kamase;27,2;1;82;7;119;1171;22
2021-11-13;Kamase;26,4;0,1;84;7;131;1226;23
2021-11-14;Kamase;26,8;0;80;7;138;1249;24
2021-11-15;Kamase;26,4;0;80;7;145;1362;25
2021-11-16;Kamase;26,8;0;81;8;147;1386;26
2021-11-17;Kamase;26,7;0,2;83;7;154;1585;27
2021-11-18;Kamase;26,9;0,3;82;7;157;1597;28
2021-11-19;Kamase;27,2;0,1;82;7;164;1617;29
2021-11-20;Kamase;27,2;0;81;7;164;1824;30
2021-11-21;Kamase;27,1;0;78;8;174;2020;31
2021-11-22;Kamase;26,6;0;75;8;177;2056;32
2021-11-23;Kamase;26,5;1,6;72;7;182;2156;33
2021-11-24;Kamase;26;0,3;81;7;192;2282;34
2021-11-25;Kamase;25,4;1,49;83;6;192;2382;35
2021-11-26;Kamase;25,6;0,4;82;7;204;2494;36
2021-11-27;Kamase;25,9;0,4;82;7;206;2496;37
2021-11-28;Kamase;25,8;0;81;7;212;2747;38
2021-11-29;Kamase;25,9;0;77;8;218;2846;39
2021-11-30;Kamase;25,5;0;75;8;227;2973;40
2021-12-01;Kamase;25;0;72;8;228;3079;41
2021-12-02;Kamase;25,1;0;71;7;231;3128;42
2021-12-03;Kamase;25,1;0;71;8;13;58;1
2021-12-04;Kamase;25,6;0;68;8;18;76;2
2021-12-05;Kamase;25;0;66;8;21;99;3
2021-12-06;Kamase;24;0;66;7;27;112;4
2021-12-07;Kamase;23,7;0;67;8;31;157;5
2021-12-08;Kamase;24,4;0;74;8;33;167;6
2021-12-09;Kamase;25,7;0;69;8;38;214;7
2021-12-10;Kamase;25,8;0;67;8;44;252;8
2021-12-11;Kamase;26,4;0;71;8;48;306;9
2021-12-12;Kamase;26;0;67;7;51;326;10
2021-12-13;Kamase;25,9;0;66;7;60;334;11
2021-12-14;Kamase;25,3;0;70;8;62;449;12
2021-12-15;Kamase;24,1;0;66;8;66;462;13
2021-12-16;Kamase;23,4;0;61;8;71;561;14
2021-12-17;Kamase;23,4;0;64;8;78;592;15
2021-12-18;Kamase;24,3;0;67;8;85;662;16
2021-12-19;Kamase;25;0;68;8;92;756;17
2021-12-20;Kamase;24,8;0;67;8;96;814;18
2021-12-21;Kamase;24,2;0;66;8;101;902;19
2021-12-22;Kamase;23,5;0;67;7;105;903;20
2021-12-23;Kamase;22,8;0;65;7;117;960;21
2021-12-24;Kamase;22,2;0;64;7;119;981;22
2021-12-25;Kamase;22,2;0;59;8;121;1222;23
2021-12-26;Kamase;22,8;0;59;8;130;1264;24
2021-12-27;Kamase;24;0;58;8;136;1323;25
2021-12-28;Kamase;24,5;0;59;8;143;1411;26
2021-12-29;Kamase;24,8;0;57;8;146;1600;27
2021-12-30;Kamase;25,3;0;56;8;146;1722;28
2021-12-31;Kamase;25,8;0;55;8;152;1799;29
2022-01-01;Kamase;25,5;0;50;8;156;1850;30
2022-01-02;Kamase;24,7;0;54;8;160;1867;31
2022-01-03;Kamase;25,3;0;58;8;167;2062;32
2022-01-04;Kamase;25,5;0;55;8;184;2097;33
2022-01-05;Kamase;24,8;0;54;8;188;2277;34
2022-01-06;Kamase;25;0;51;8;188;2324;35
2022-01-07;Kamase;24,9;0;46;8;191;2460;36
2022-01-08;Kamase;24,9;0;50;8;192;2474;37
2022-01-09;Kamase;24,8;0;49;8;214;2748;38
2022-01-10;Kamase;25,1;0;51;8;220;2781;39
2022-01-11;Kamase;24,7;0;50;8;221;2840;40
2022-01-12;Kamase;24,9;0;50;7;224;3073;41
2022-01-13;Kamase;25,5;0,3;51;7;226;3154;42
2022-01-14;Kamase;26,1;0,6;49;7;12;55;1
2022-01-15;Kamase;25,6;2,9;61;7;15;80;2
2022-01-16;Kamase;25,6;0,1;60;7;20;94;3
2022-01-17;Kamase;25,6;0;59;8;27;126;4
2022-01-18;Kamase;25,2;0;49;8;30;158;5
2022-01-19;Kamase;24,7;0,3;53;7;36;161;6
2022-01-20;Kamase;23,3;2,3;69;6;36;192;7
2022-01-21;Kamase;23,2;2,1;55;7;42;220;8
2022-01-22;Kamase;22,8;0,2;48;7;48;259;9
2022-01-23;Kamase;22,8;0;52;8;53;297;10
2022-01-24;Kamase;23,2;0;49;8;55;359;11
2022-01-25;Kamase;23,8;0;51;8;58;405;12
2022-01-26;Kamase;24,3;0;50;8;64;506;13
2022-01-27;Kamase;24,7;0;46;8;69;560;14
2022-01-28;Kamase;25,1;0;41;8;76;629;15
2022-01-29;Kamase;23,8;0;43;8;86;647;16
2022-01-30;Kamase;21,2;0;51;8;92;746;17
2022-01-31;Kamase;22;0;54;8;99;761;18
2022-02-01;Kamase;22,8;0;47;8;99;890;19
2022-02-02;Kamase;23;0;38;8;101;975;20
2022-02-03;Kamase;22,8;0;39;8;114;986;21
2022-02-04;Kamase;24,7;0;34;8;116;1068;22
2022-02-05;Kamase;25,9;0,7;50;7;118;1238;23
2022-02-06;Kamase;25,3;2,3;60;7;134;1240;24
2022-02-07;Kamase;24,3;0;34;8;143;1299;25
2022-02-08;Kamase;23,6;0;38;8;148;1412;26
2022-02-09;Kamase;24,3;0;39;8;156;1623;27
2022-02-10;Kamase;24,5;0;24;9;158;1711;28
2022-02-11;Kamase;25,2;0;20;9;166;1762;29
2022-02-12;Kamase;25,4;0;28;9;171;1864;30
2022-02-13;Kamase;23,8;0;41;8;174;1938;31
2022-02-14;Kamase;25,2;0;26;9;186;1982;32
2022-02-15;Kamase;27,1;0;41;9;188;2016;33
2022-02-16;Kamase;27,2;0;49;8;188;2117;34
2022-02-17;Kamase;26,1;3;58;7;198;2118;35
2022-02-18;Kamase;25,7;11,82;78;6;201;2330;36
2022-02-19;Kamase;25,1;2,5;51;6;214;2384;37
2022-02-20;Kamase;26,1;0;39;8;214;2501;38
2022-02-21;Kamase;25,2;0;53;8;215;2525;39
2022-02-22;Kamase;25,9;0;44;8;225;2644;40
2022-02-23;Kamase;26,3;0;45;9;227;2789;41
2022-02-24;Kamase;26,2;0;40;9;230;3078;42
2022-02-25;Kamase;26,7;0;39;9;14;63;1
2022-02-26;Kamase;27,5;0;37;9;17;81;2
2022-02-27;Kamase;28;0;36;9;22;93;3
2022-02-28;Kamase;27,9;0;39;8;26;136;4
2022-03-01;Kamase;28,9;0;31;9;28;164;5
2022-03-02;Kamase;29,3;0;39;9;30;177;6
2022-03-03;Kamase;29,7;0;34;9;34;221;7
2022-03-04;Kamase;29,8;0;33;9;41;238;8
2022-03-05;Kamase;29,3;0;35;9;42;267;9
2022-03-06;Kamase;29,1;0;45;9;54;339;10
2022-03-07;Kamase;29,7;0;47;9;55;353;11
2022-03-08;Kamase;30,1;0;52;9;63;397;12
2022-03-09;Kamase;29,8;0,1;51;8;67;431;13
2022-03-10;Kamase;31,3;0;38;9;71;525;14
2022-03-11;Kamase;31,2;0;38;9;74;602;15
2022-03-12;Kamase;31,1;0;35;9;77;626;16
2022-03-13;Kamase;31,7;0;35;10;94;649;17
2022-03-14;Kamase;31,7;0;33;10;94;688;18
2022-03-15;Kamase;31,4;0;33;9;105;902;19
2022-03-16;Kamase;31;0;34;9;108;954;20
2022-03-17;Kamase;31,3;0;36;9;109;1000;21
2022-03-18;Kamase;31,5;0;36;9;111;1143;22
2022-03-19;Kamase;31,2;0,2;39;8;127;1174;23
2022-03-20;Kamase;29,9;0,2;53;8;130;1261;24
2022-03-21;Kamase;26,1;3;83;6;144;1434;25
2022-03-22;Kamase;26,1;15,8;81;6;149;1484;26
2022-03-23;Kamase;27,7;1,5;72;7;153;1495;27
2022-03-24;Kamase;29,2;0;56;9;153;1602;28
2022-03-25;Kamase;29,7;0;57;9;163;1628;29
2022-03-26;Kamase;29,9;0;57;9;170;1794;30
2022-03-27;Kamase;30,4;0;54;9;172;1957;31
2022-03-28;Kamase;30,8;1,2;49;8;178;2062;32
2022-03-29;Kamase;30,5;0,4;52;8;188;2116;33
2022-03-30;Kamase;31,1;0;52;9;196;2236;34
2022-03-31;Kamase;31;0;47;9;196;2418;35
2022-04-01;Kamase;31,4;0;42;9;206;2549;36
2022-04-02;Kamase;30,1;2,2;50;8;211;2651;37
2022-04-03;Kamase;28,8;0;57;7;212;2715;38
2022-04-04;Kamase;30,2;0;50;9;220;2884;39
2022-04-05;Kamase;31,1;0;48;9;226;2916;40
2022-04-06;Kamase;31,1;0,6;54;8;229;3084;41
2022-04-07;Kamase;30,1;6,2;57;8;230;3177;42
2022-04-08;Kamase;29,9;2,1;57;7;14;68;1
2022-04-09;Kamase;30,5;0,8;57;8;17;77;2
2022-04-10;Kamase;31,1;0;51;9;22;108;3
2022-04-11;Kamase;31,2;0;49;9;24;134;4
2022-04-12;Kamase;31,2;0;50;9;29;154;5
2022-04-13;Kamase;31,7;0;51;9;36;186;6
2022-04-14;Kamase;31,7;0;54;9;37;206;7
2022-04-15;Kamase;31,8;0;54;9;39;241;8
2022-04-16;Kamase;32,1;0;52;9;42;279;9
2022-04-17;Kamase;32,2;0,2;49;8;50;323;10
2022-04-18;Kamase;32,4;0;49;9;60;356;11
2022-04-19;Kamase;31,9;1,3;48;8;64;438;12
2022-04-20;Kamase;31,6;0,1;52;8;67;492;13
2022-04-21;Kamase;30,7;0,4;58;8;76;536;14
2022-04-22;Kamase;31,6;0;54;8;79;604;15
2022-04-23;Kamase;31,9;0;52;9;81;673;16
2022-04-24;Kamase;32,3;0,1;54;8;84;721;17
2022-04-25;Kamase;32,9;0,1;51;8;95;768;18
2022-04-26;Kamase;32,8;0;52;9;105;842;19
2022-04-27;Kamase;32,5;0;55;10;113;954;20
2022-04-28;Kamase;33,3;0,5;50;9;119;1004;21
2022-04-29;Kamase;33;0,1;52;9;124;1041;22
2022-04-30;Kamase;32,2;0,7;54;8;128;1208;23
2022-05-01;Kamase;31,5;1,3;61;8;136;1328;24
2022-05-02;Kamase;31,2;1,3;62;8;141;1364;25
2022-05-03;Kamase;31,5;0,1;56;8;148;1494;26
2022-05-04;Kamase;31,3;0;53;8;158;1505;27
2022-05-05;Kamase;31,2;0,7;54;8;159;1624;28
2022-05-06;Kamase;29,6;0,4;66;7;166;1763;29
2022-05-07;Kamase;28;11,6;75;6;167;1868;30
2022-05-08;Kamase;28,9;4,1;71;7;176;2029;31
2022-05-09;Kamase;27,9;9,2;77;7;180;2040;32
2022-05-10;Kamase;26,5;15,24;87;6;188;2158;33
2022-05-11;Kamase;27,5;19,35;78;7;196;2332;34
2022-05-12;Kamase;27,8;6,3;73;7;198;2336;35
2022-05-13;Kamase;28,4;7,56;75;7;206;2363;36
2022-05-14;Kamase;28,8;9,8;74;7;213;2582;37
2022-05-15;Kamase;29,5;5,78;72;7;216;2615;38
2022-05-16;Kamase;29,2;21,29;74;7;221;2733;39
2022-05-17;Kamase;28,2;15,5;73;7;224;2850;40
2022-05-18;Kamase;27,4;9,8;82;6;225;3018;41
2022-05-19;Kamase;25,3;83,61;95;6;233;3208;42
2022-05-20;Kamase;25,6;46,05;91;6;13;65;1
2022-05-21;Kamase;25,3;21,8;90;6;15;80;2
2022-05-22;Kamase;25,9;18,74;90;6;20;95;3
2022-05-23;Kamase;27;32,76;84;6;26;119;4
2022-05-24;Kamase;24,7;63,54;91;6;29;135;5
2022-05-25;Kamase;24,7;13;88;6;36;169;6
2022-05-26;Kamase;27,7;5,1;76;7;39;200;7
2022-05-27;Kamase;28,2;3,53;78;7;44;264;8
2022-05-28;Kamase;27,2;30,54;85;7;48;275;9
2022-05-29;Kamase;25,9;23,18;89;6;53;351;10
2022-05-30;Kamase;26,3;9,09;87;7;60;362;11
2022-05-31;Kamase;26,6;23,63;85;6;61;434;12
2022-06-01;Kamase;27,5;14,72;81;7;70;452;13
2022-06-02;Kamase;27,4;3,44;81;7;73;525;14
2022-06-03;Kamase;27,4;7,6;81;7;75;557;15
2022-06-04;Kamase;27,5;18,8;78;7;77;661;16
2022-06-05;Kamase;27,1;13,7;81;6;78;736;17
2022-06-06;Kamase;26,6;16,33;83;6;90;769;18
2022-06-07;Kamase;25,4;34,9;89;6;106;840;19
2022-06-08;Kamase;25,3;19,6;89;6;109;992;20
2022-06-09;Kamase;25,4;12,4;93;6;112;1078;21
2022-06-10;Kamase;26,9;17;82;6;123;1097;22
2022-06-11;Kamase;26,9;22,42;83;6;131;1098;23
2022-06-12;Kamase;27,3;18,5;82;7;132;1231;24
2022-06-13;Kamase;27,1;29,97;81;7;142;1372;25
2022-06-14;Kamase;27,6;8,9;80;7;145;1494;26
2022-06-15;Kamase;26,6;7,27;87;6;157;1499;27
2022-06-16;Kamase;27,2;10,6;84;6;157;1537;28
2022-06-17;Kamase;27,8;10,7;78;7;164;1701;29
2022-06-18;Kamase;27,5;13,99;81;7;171;1848;30
2022-06-19;Kamase;26,7;11,6;84;6;178;1891;31
2022-06-20;Kamase;26,7;20,03;81;6;179;1910;32
2022-06-21;Kamase;26,5;24,27;83;6;182;2150;33
2022-06-22;Kamase;26,8;11,9;78;7;184;2265;34
2022-06-23;Kamase;26,7;12,5;82;6;192;2290;35
2022-06-24;Kamase;26,3;1,8;85;6;199;2350;36
2022-06-25;Kamase;27,5;8,56;81;7;207;2419;37
2022-06-26;Kamase;27,8;11,1;79;7;209;2710;38
2022-06-27;Kamase;26,3;13,4;87;6;213;2770;39
2022-06-28;Kamase;27,4;5,5;82;6;221;2866;40
2022-06-29;Kamase;27,7;6,8;80;7;230;2887;41
2022-06-30;Kamase;27,5;17,9;82;7;234;2965;42
2022-07-01;Kamase;26,5;22,93;84;6;15;64;1
2022-07-02;Kamase;26,9;16,6;82;6;19;83;2
2022-07-03;Kamase;27,1;22,46;83;6;20;100;3
2022-07-04;Kamase;25,9;19,67;91;6;27;137;4
2022-07-05;Kamase;26,8;21,5;84;6;30;145;5
2022-07-06;Kamase;26,7;7,4;87;6;32;177;6
2022-07-07;Kamase;27;36,3;86;6;39;199;7
2022-07-08;Kamase;25,7;45,25;91;6;42;245;8
2022-07-09;Kamase;26,4;27,5;87;6;42;259;9
2022-07-10;Kamase;25,6;15,4;90;6;46;294;10
2022-07-11;Kamase;26,4;14,39;86;6;50;340;11
2022-07-12;Kamase;26,3;19,7;87;6;60;454;12
2022-07-13;Kamase;27;28,4;81;7;67;491;13
2022-07-14;Kamase;26,4;21,62;87;6;68;518;14
2022-07-15;Kamase;26;5,8;90;6;74;549;15
2022-07-16;Kamase;27;30,87;85;6;77;601;16
2022-07-17;Kamase;27,8;10,45;81;7;80;629;17
2022-07-18;Kamase;27,7;8,1;83;7;82;823;18
2022-07-19;Kamase;27,5;21,3;86;7;96;870;19
2022-07-20;Kamase;28,2;44,3;82;7;107;969;20
2022-07-21;Kamase;26,6;14;89;6;117;990;21
2022-07-22;Kamase;25,4;143,3;90;6;122;1100;22
2022-07-23;Kamase;25,6;5,7;89;6;123;1160;23
2022-07-24;Kamase;27;1,9;79;7;126;1204;24
2022-07-25;Kamase;28,9;1,1;75;7;132;1248;25
2022-07-26;Kamase;27,5;40,09;79;7;138;1500;26
2022-07-27;Kamase;28,7;0,2;77;7;156;1629;27
2022-07-28;Kamase;29,2;0,4;76;7;159;1661;28
2022-07-29;Kamase;28,9;7,5;77;7;162;1737;29
2022-07-30;Kamase;28,7;1,5;78;7;162;1922;30
2022-07-31;Kamase;27,4;9,76;83;7;170;2018;31
2022-08-01;Kamase;27,9;6;79;7;178;2088;32
2022-08-02;Kamase;27,9;13,7;78;7;190;2103;33
2022-08-03;Kamase;26,8;27,52;86;6;198;2248;34
2022-08-04;Kamase;25,3;34,8;93;6;204;2444;35
2022-08-05;Kamase;25,7;32,9;91;6;207;2544;36
2022-08-06;Kamase;25,8;29,6;91;6;209;2566;37
2022-08-07;Kamase;25;41,33;94;6;218;2702;38
2022-08-08;Kamase;24,5;60,1;96;6;223;2837;39
2022-08-09;Kamase;24,2;33,68;96;6;227;2968;40
2022-08-10;Kamase;24,6;15,5;93;6;230;3079;41
2022-08-11;Kamase;25,3;10,2;89;6;233;3090;42
2022-08-12;Kamase;24,9;53,5;93;6;15;68;1
2022-08-13;Kamase;24,1;26,96;96;6;19;85;2
2022-08-14;Kamase;26,3;20,4;86;7;23;96;3
2022-08-15;Kamase;25,7;7,03;88;6;26;124;4
2022-08-16;Kamase;25;23,2;91;6;27;137;5
2022-08-17;Kamase;25,7;141,78;86;6;29;160;6
2022-08-18;Kamase;26,3;29,44;87;6;35;214;7
2022-08-19;Kamase;26,8;17,7;83;6;36;264;8
2022-08-20;Kamase;26,5;40,25;87;6;48;295;9
2022-08-21;Kamase;25;34,81;95;6;52;333;10
2022-08-22;Kamase;24,2;83,87;95;5;57;362;11
2022-08-23;Kamase;24,9;7,8;94;6;63;414;12
2022-08-24;Kamase;27;3,5;84;7;68;436;13
2022-08-25;Kamase;27,5;17,1;79;7;70;556;14
2022-08-26;Kamase;25,2;13,4;92;6;74;609;15
2022-08-27;Kamase;25,4;13,5;88;6;85;700;16
2022-08-28;Kamase;26,8;6,3;84;7;92;718;17
2022-08-29;Kamase;28,1;1,1;81;7;96;835;18
2022-08-30;Kamase;27,9;5,02;82;7;97;848;19
2022-08-31;Kamase;28,1;2,63;83;7;105;951;20
2022-09-01;Kamase;27,8;0,3;82;7;110;978;21
2022-09-02;Kamase;28,1;4,1;79;7;111;1060;22
2022-09-03;Kamase;27,9;3;82;7;115;1156;23
2022-09-04;Kamase;27,4;5,08;85;7;128;1157;24
2022-09-05;Kamase;27,4;3,8;83;7;143;1282;25
2022-09-06;Kamase;26,9;14,71;86;7;150;1334;26
2022-09-07;Kamase;26,6;3,7;88;7;155;1505;27
2022-09-08;Kamase;26,7;7,5;86;7;163;1640;28
2022-09-09;Kamase;24,8;35,89;94;6;168;1787;29
2022-09-10;Kamase;24,4;26,2;95;6;168;1832;30
2022-09-11;Kamase;24,7;3,3;93;6;168;1978;31
2022-09-12;Kamase;24,8;8,23;92;6;178;2042;32
2022-09-13;Kamase;26,1;12,1;87;6;182;2105;33
2022-09-14;Kamase;26,4;11,6;84;7;196;2208;34
2022-09-15;Kamase;26;12,65;87;6;204;2438;35
2022-09-16;Kamase;26;12,05;88;6;205;2446;36
2022-09-17;Kamase;26,1;15,89;89;6;206;2661;37
2022-09-18;Kamase;25;12,4;94;6;212;2692;38
2022-09-19;Kamase;24,1;36,6;96;6;220;2713;39
2022-09-20;Kamase;24,6;8;92;6;220;2812;40
2022-09-21;Kamase;25,8;8,1;87;6;227;2921;41
2022-09-22;Kamase;26,2;11,86;88;6;234;3070;42
2022-09-23;Kamase;26,1;13,62;86;7;12;68;1
2022-09-24;Kamase;25,1;11,4;89;6;15;82;2
2022-09-25;Kamase;25,1;10,9;92;6;22;96;3
2022-09-26;Kamase;24,5;72,5;93;6;26;114;4
2022-09-27;Kamase;25,7;16,9;87;6;29;137;5
2022-09-28;Kamase;25,9;1,5;86;7;34;174;6
2022-09-29;Kamase;25,8;21,55;93;6;35;189;7
2022-09-30;Kamase;25,6;19,1;89;6;42;233;8
2022-10-01;Kamase;25,1;26,5;94;6;44;270;9
2022-10-02;Kamase;25,6;20,77;94;6;46;350;10
2022-10-03;Kamase;24,7;3,9;93;6;52;362;11
2022-10-04;Kamase;26,2;0,6;87;7;59;450;12
2022-10-05;Kamase;27,1;1,1;83;7;62;504;13
2022-10-06;Kamase;27,1;3,35;85;7;62;527;14
2022-10-07;Kamase;26,8;11,09;87;7;69;582;15
2022-10-08;Kamase;26,7;1,2;84;7;80;590;16
2022-10-09;Kamase;26,7;2,4;84;7;88;630;17
2022-10-10;Kamase;27,1;5,8;81;7;99;727;18
2022-10-11;Kamase;25,8;2,5;86;6;104;830;19
2022-10-12;Kamase;26;2,8;86;6;112;989;20
2022-10-13;Kamase;26,8;0,4;85;7;118;1008;21
2022-10-14;Kamase;26,2;3,5;85;7;124;1037;22
2022-10-15;Kamase;26,2;2,5;88;7;126;1250;23
2022-10-16;Kamase;25,8;0,4;84;6;130;1274;24
2022-10-17;Kamase;26;0,1;79;7;141;1396;25
2022-10-18;Kamase;26;0,2;81;7;141;1423;26
2022-10-19;Kamase;26,8;0;77;8;155;1602;27
2022-10-20;Kamase;26,8;0;78;7;157;1710;28
2022-10-21;Kamase;26,9;0;77;8;159;1751;29
2022-10-22;Kamase;27,3;0,3;75;7;173;1834;30
2022-10-23;Kamase;26,9;0;84;7;176;2000;31
